name,salary_from,salary_to,salary_currency,area_name,published_at
DevOps инженер,,,,Алматы,2022-12-14T09:24:33+0300
Мастер группы механизации и транспорта (Мелеузовский городской РЭС),30000,42000,RUR,Мелеуз,2022-12-14T11:12:33+0300
Дизайнер одежды (Nude Story),45000,,RUR,Казань,2022-12-14T11:57:36+0300
Директор по развитию,,,,Москва,2022-12-14T10:53:01+0300
Директор спортивного комплекса «Им. 60-летия Победы»,,,,Мирный (Республика Саха (Якутия)),2022-12-14T04:24:31+0300
Специалист по мониторингу контакт-центров,40000,,RUR,Пермь,2022-12-14T10:53:32+0300
Специалист отдела информационных систем,25000,45000,RUR,Томск,2022-12-14T05:12:20+0300
Инженер-механик в области механизации сельского хозяйства,200000,300000,KZT,Петропавловск,2022-12-14T11:06:57+0300
Старший механик,120000,150000,RUR,Херсон,2022-12-14T03:29:51+0300
Администратор баз данных,85000,107000,RUR,Комсомольск-на-Амуре,2022-12-14T11:45:37+0300
Младший менеджер проектов,,,,Москва,2022-12-14T09:34:35+0300
C/C++ Developer in Advanced Computing Team,,,,Москва,2022-12-14T11:44:14+0300
Product Owner (mobile/трайб Digital),,,,Москва,2022-12-14T07:27:55+0300
Администратор портала обучения,,,,Екатеринбург,2022-12-14T11:21:40+0300
Помощник системного администратора,170000,650000,KZT,Атырау,2022-12-14T10:35:59+0300
Главный механик,60000,,RUR,Караганда,2022-12-14T11:52:07+0300
Старший специалист по товародвижению,105000,120000,RUR,Москва,2022-12-14T11:12:06+0300
Редактор-райтер в РБК Pro Инвестиции,,,,Москва,2022-12-14T11:44:18+0300
Python разработчик (PT NAD),,,,Санкт-Петербург,2022-12-14T10:02:32+0300
Менеджер продукта в команду развития интернет-банка для малого бизнеса,,,,Москва,2022-12-14T11:02:10+0300
Фрезеровщик,65000,,RUR,Санкт-Петербург,2022-12-14T09:57:38+0300
PHP/Go developer,,,,Москва,2022-12-14T10:46:21+0300
Инженер по производственным улучшениям,,,,Ижевск,2022-12-14T11:31:22+0300
Аналитик ресурсов на тему разработки,,65000,RUR,Санкт-Петербург,2022-12-14T08:38:31+0300
Оператор станков с ЧПУ,80000,100000,RUR,Санкт-Петербург,2022-12-14T10:17:53+0300
Web-программист,150000,200000,RUR,Краснодар,2022-12-14T07:53:41+0300
Ведущий аналитик (тарифы и расчеты),100000,,RUR,Москва,2022-12-14T10:06:13+0300
